[2018-08-18T09:22:13.762] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/click","host":"localhost:3000","message":{"responseTime":"响应时间为0.002s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:22:14.555] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.004s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:22:14.561] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.007s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:23:19.099] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.022s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:23:19.112] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.003s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:23:35.881] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.027s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:23:35.890] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.013s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:24:25.575] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.006s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:24:25.577] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.007s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:24:26.599] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.004s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:24:26.604] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.007s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
